World Development Indicators
Number of countries,30
Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,2820000,2995000,3457000,3823000,4173000,4562000,4700000,4308000,5325000,5705000,5587000,5246000,5931000,5736000,5559000
Brazil,3785000,4133000,4794000,5358000,5017000,5026000,5050000,4802000,5161000,5433000,5677000,5813000,6430000,6306000,6206000
Canada,20057000,17534000,19145000,18771000,18265000,17935000,17142000,15737000,16219000,16014000,16344000,16059000,16537000,17971000,18971000
China,36803000,32970000,41761000,46809000,49913000,54720000,53049000,50875000,55664000,57581000,57725000,55686000,55622000,56886000,57886000
Denmark,3436000,3474000,4421000,9587000,9630000,9832000,9564000,9265000,9425000,8471000,8443000,8557000,10267000,10424000,10524000
France,77012000,75048000,74433000,74988000,77916000,80853000,79218000,76764000,76647000,80499000,81980000,83634000,83701000,84452000,85452000
Finland,2043000,2047000,2083000,2080000,2317000,2472000,2494000,2220000,2319000,2623000,2778000,2797000,2731000,2622000,2722000
Germany,17969000,18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000,31545000,32999000,34970000,35555000
Indonesia,5033000,4467000,5321000,5002000,4871000,5506000,6234000,6324000,7003000,7650000,8044000,8802000,9435000,10407000,10507000
Japan,5239000,5212000,6138000,6728000,7334000,8347000,8351000,6790000,8611000,6219000,8358000,10364000,13413000,19737000,18737000
Hong Kong,10689000,9676000,13655000,14773000,15821000,17154000,17319000,16926000,20085000,22316000,23770000,25661000,27770000,26686000,26553000
Malaysia,13292000,10577000,15703000,16431000,17547000,20973000,22052000,23646000,24577000,24714000,25033000,25715000,27437000,25721000,26721000
Mexico,19667000,18665000,20618000,21915000,21353000,21606000,22931000,22346000,23290000,23403000,23403000,24151000,29346000,32093000,33093000
Nigeria,887000,924000,962000,1010000,1111000,1212000,1313000,1414000,1555000,715000,486000,600000,600000,1255000,1355000
Norway,3111000,3269000,3628000,3824000,4070000,4377000,4347000,4346000,4767000,4963000,4538000,4778000,4855000,5361000,5461000
New Zealand,2026000,2086000,2325000,2353000,2390000,2434000,2371000,2373000,2435000,2511000,2473000,2629000,2772000,3039000,3139000
Netherlands,9595000,9181000,9646000,10012000,10739000,11008000,10104000,9921000,10883000,11300000,11680000,12783000,13925000,15007000,16007000
Myanmar,487000,597000,657000,660000,630000,716000,731000,763000,792000,816000,1059000,2044000,3081000,4681000,4581000
Morocco,4453000,4761000,5477000,5843000,6558000,7408000,7879000,8341000,9288000,9342000,9375000,10046000,10283000,10177000,11177000
Poland,13980000,13720000,14290000,15200000,15670000,14975000,12960000,11890000,12470000,13350000,14840000,15800000,16000000,16722000,15722000
Singapore,5855000,4703000,6553000,7079000,7588000,7957000,7778000,7488000,9161000,10390000,11098000,11899000,11864000,12051000,13051000
Spain,50331000,50854000,52430000,55914000,58004000,58666000,57192000,52178000,52677000,56177000,57464000,60675000,64939000,68215000,67215000
Sweden,4276000,4268000,4676000,4883000,4729000,5224000,4555000,4899000,5183000,5222000,5146000,5229000,5660000,6482000,6582000
Thailand,10873000,10082000,11737000,11567000,13822000,14464000,14584000,14150000,15936000,19230000,22354000,26547000,24810000,29923000,32588000
Turkey,12790000,13341000,16826000,20273000,18916000,26122000,29792000,30187000,31364000,34654000,35698000,37795000,39811000,39478000,38478000
United States,43581000,41218000,46086000,49206000,50977000,56135000,58007000,55103000,60010000,62821000,66657000,69995000,75022000,77510000,78510000
United Kingdom,22307000,22787000,25678000,28039000,30654000,30870000,30142000,28199000,28295000,29306000,29282000,31063000,32613000,34436000,36436000
Vietnam,2628000,2429000,2928000,3477000,3583000,4229000,4236000,3747000,5050000,6014000,6848000,7572000,7874000,7944000,10013000
Slovenia,1302000,1373000,1499000,1555000,1617000,1751000,1958000,1824000,1869000,2037000,2156000,2259000,2411000,2707000,2807000
Georgia,298000,313000,368000,560000,983000,1052000,1290000,1500000,2032000,2822000,4428000,5392000,5516000,5901000,6351000
